"Function Name","Grid
Dimensions","Block
Dimensions","Duration
(μs)","Registers
per Thread","Static Shared
Memory per
Block (bytes)","Local Memory
per Thread
(bytes)","Occupancy [0]:
Allocated Warps
Per Block","Occupancy [0]:
Allocated Registers
Per Block","Occupancy [0]:
Allocated Shared Memory
Per Block","Instruction Stats [4]:
GPU Issued IPC","Instruction Stats [4]:
GPU Executed IPC","Instruction Stats [4]:
GPU SM Activity","Instruction Stats [4]:
GPU SM Average IPW","Instruction Stats [4]:
GPU Serialization","Achieved Occupancy [2]:
Achieved Occupancy","Achieved FLOPS [1]:
Double GFLOPS","Achieved FLOPS [1]:
Half GFLOPS","Achieved FLOPS [1]:
Single GFLOPS","Branch Stats [3]:
Branch Efficiency","Branch Stats [3]:
Control Flow Execution Efficiency"
"getVelocity","{20, 1, 1}","{1024, 1, 1}","14738.112","34","16384","0","32","40960","16384","3.10788615215665","3.10782577001545","0.99921934220398","1423930","1.94286850430045E-05","0.499835377131009","0","0","1935.28845046696","1","1"
"move","{20, 1, 1}","{1024, 1, 1}","5.312","11","0","0","32","16384","0","0.169187667241897","0.15649998952009","0.800285155157954","35","0.0749917409976875","0.932558831703489","0","0","23.1325301204819","1","1"
"getVelocity","{20, 1, 1}","{1024, 1, 1}","14707.36","34","16384","0","32","40960","16384","3.10756973789342","3.10750963809768","0.998793759476651","1423930","1.93398059594748E-05","0.499837825594251","0","0","1939.3348636329","1","1"
"move","{20, 1, 1}","{1024, 1, 1}","5.28","11","0","0","32","16384","0","0.141056027579942","0.130445669960808","0.840729498164015","35","0.0752208735859962","0.93804717296857","0","0","23.2727272727273","1","1"
"getVelocity","{20, 1, 1}","{1024, 1, 1}","14729.568","34","16384","0","32","40960","16384","3.10805710879468","3.10800036903862","0.999282763874196","1423930","1.82556993232752E-05","0.499834495305953","0","0","1936.4108981336","1","1"
"move","{20, 1, 1}","{1024, 1, 1}","5.184","11","0","0","32","16384","0","0.165301431621163","0.152779009255407","0.859621247654784","35","0.0757550750949001","0.929619767009254","0","0","23.7037037037037","1","1"
"getVelocity","{20, 1, 1}","{1024, 1, 1}","14728.736","34","16384","0","32","40960","16384","3.10801695352382","3.10795982572102","0.999331729988801","1423930","1.8380788670494E-05","0.499835236865801","0","0","1936.52028252798","1","1"
"move","{20, 1, 1}","{1024, 1, 1}","5.216","11","0","0","32","16384","0","0.167278103647204","0.154759190554162","0.783994150146246","35","0.0748389228481745","0.929471021881806","0","0","23.5627996164909","1","1"
"getVelocity","{20, 1, 1}","{1024, 1, 1}","14691.392","34","16384","0","32","40960","16384","3.10810413477358","3.10804819561389","0.999324091944736","1423930","1.79978396052593E-05","0.499834853544467","0","0","1941.44271693247","1","1"
"move","{20, 1, 1}","{1024, 1, 1}","5.248","11","0","0","32","16384","0","0.169352361270143","0.156394001172955","0.860952151959606","35","0.0765171503957784","0.937558753438246","0","0","23.4146341463415","1","1"
